# IAZAHLN,IAZAHLF,AT0(3),FCOR(3),FCOR1(far),FCOR2(near), fcor2_1,fcor2_2
#  2160   61  1.00  1.00  1.00    1.39   1.41   1.39   1.64  0.842   1.00  1.00
# Table for near sidelobes (IAZAHLN rows)
# AP1,AP2,AT1,AT2 cell edges (phi_low, phi_high, radius_low, radius_high)
# also used to calculate solid angle
# Factor (only one column is used!): "Gain"
# AP1,AP2,AT1,AT2,AG //  IAZAHLN CARDS  FOR NEAR SIDELOBE REGION
   0.00   5.00   0.25   0.38    0.2535812990E+03    0.2535812990E+03
   5.00  10.00   0.25   0.38    0.1804919740E+03    0.1804919740E+03
  10.00  15.00   0.25   0.38    0.6962420650E+02    0.6962420650E+02
  15.00  20.00   0.25   0.38    0.1413828180E+02    0.1413828180E+02
  20.00  25.00   0.25   0.38    0.2929612920E+02    0.2929612920E+02
  25.00  30.00   0.25   0.38    0.6825348660E+02    0.6825348660E+02
  30.00  35.00   0.25   0.38    0.8895137020E+02    0.8895137020E+02
  35.00  40.00   0.25   0.38    0.1160232930E+03    0.1160232930E+03
  40.00  45.00   0.25   0.38    0.7907339480E+02    0.7907339480E+02
  45.00  50.00   0.25   0.38    0.1142576900E+03    0.1142576900E+03
  50.00  55.00   0.25   0.38    0.1160232850E+03    0.1160232850E+03
  55.00  60.00   0.25   0.38    0.8895136260E+02    0.8895136260E+02
  60.00  65.00   0.25   0.38    0.6825348660E+02    0.6825348660E+02
  65.00  70.00   0.25   0.38    0.2929612920E+02    0.2929612920E+02
  70.00  75.00   0.25   0.38    0.1413828180E+02    0.1413828180E+02
  75.00  80.00   0.25   0.38    0.6962420650E+02    0.6962420650E+02
  80.00  85.00   0.25   0.38    0.1804919890E+03    0.1804919890E+03
  85.00  90.00   0.25   0.38    0.2401700590E+03    0.2401700590E+03
  90.00  95.00   0.25   0.38    0.2535813140E+03    0.2535813140E+03
  95.00 100.00   0.25   0.38    0.1804919740E+03    0.1804919740E+03
 100.00 105.00   0.25   0.38    0.6962421420E+02    0.6962421420E+02
 105.00 110.00   0.25   0.38    0.1413828180E+02    0.1413828180E+02
 110.00 115.00   0.25   0.38    0.2929612920E+02    0.2929612920E+02
 115.00 120.00   0.25   0.38    0.6825348660E+02    0.6825348660E+02
 120.00 125.00   0.25   0.38    0.8895137020E+02    0.8895137020E+02
 125.00 130.00   0.25   0.38    0.1160232850E+03    0.1160232850E+03
 130.00 135.00   0.25   0.38    0.7907339480E+02    0.7907339480E+02
 135.00 140.00   0.25   0.38    0.1142576830E+03    0.1142576830E+03
 140.00 145.00   0.25   0.38    0.1160232770E+03    0.1160232770E+03
 145.00 150.00   0.25   0.38    0.8895135500E+02    0.8895135500E+02
 150.00 155.00   0.25   0.38    0.6825347140E+02    0.6825347140E+02
 155.00 160.00   0.25   0.38    0.2929611780E+02    0.2929611780E+02
 160.00 165.00   0.25   0.38    0.1413828090E+02    0.1413828090E+02
 165.00 170.00   0.25   0.38    0.6962422940E+02    0.6962422940E+02
 170.00 175.00   0.25   0.38    0.1804920350E+03    0.1804920350E+03
 175.00 180.00   0.25   0.38    0.2401701660E+03    0.2401701660E+03
 180.00 185.00   0.25   0.38    0.2535813750E+03    0.2535813750E+03
 185.00 190.00   0.25   0.38    0.1804920500E+03    0.1804920500E+03
 190.00 195.00   0.25   0.38    0.6962423710E+02    0.6962423710E+02
 195.00 200.00   0.25   0.38    0.1413828090E+02    0.1413828090E+02
 200.00 205.00   0.25   0.38    0.2929611590E+02    0.2929611590E+02
 205.00 210.00   0.25   0.38    0.6825347140E+02    0.6825347140E+02
 210.00 215.00   0.25   0.38    0.8895135500E+02    0.8895135500E+02
 215.00 220.00   0.25   0.38    0.1160232700E+03    0.1160232700E+03
 220.00 225.00   0.25   0.38    0.1142576750E+03    0.1142576750E+03
 225.00 230.00   0.25   0.38    0.7907339480E+02    0.7907339480E+02
 230.00 235.00   0.25   0.38    0.1160232770E+03    0.1160232770E+03
